Website_Name,Domain,Title,Description,URL,Response_Time_Seconds
UIC Student Portal,my.uic.edu,Welcome - UIC Portal - University of Illinois Chicago,Portal: An error has occured  Your browser doesn't accept cookies. Cookies are required to use this site.,https://my.uic.edu/uPortal/f/welcome/normal/render.uP,1.017
United Airlines,united.com,"United Airlines - Airline Tickets, Travel Deals and Flights","United Airlines - Airline Tickets, Travel Deals and Flights  Navigated to: United Airlines - Airline Tickets, Travel Deals and Flights  # Welcome to United.com  Skip to book  Book  Flight status  Chec",https://www.united.com/en/il/,0.842
Postman Documentation,learning.postman.com,Postman Docs | Postman Docs,# Postman Docs  ## Docs  - Convert API formats into Postman Collections - Generate client code for your API collections - Give feedback about the Postman VS Code extension - Use AI agents with the Pos,https://learning.postman.com/,1.026
Amazon,amazon.com,Amazon.com. Spend less. Smile more.,Amazon.com. Spend less. Smile more.  33% offLimited time deal  14% offLimited time deal  25% offLimited time deal  22% offLimited time deal  See more  Bottega Veneta  Chanel  Yves Saint Laurent  Gucci,https://www.amazon.com/gp/aw/h.html,1.233
Zillow,zillow.com,"Zillow: Real Estate, Apartments, Mortgages & Home Values","Zillow: Real Estate, Apartments, Mortgages & Home Values  Skip main navigation  # Rentals. Homes. Agents. Loans.  clear search text buttonSubmit Search  ###### About Zillow's Recommendations  Recommen",https://www.zillow.com/,1.227
Hacker News,news.ycombinator.com,Hacker News,Hacker News  | Hacker News new| past| comments| ask| show| jobs| submit | login | | --- | --- |  | 1. | Learnings from paying artists royalties for AI-generated art(kapwing.com) | | --- | --- | | 91 p,https://news.ycombinator.com/,0.712
X (formerly Twitter),twitter.com,Not Found,Not Found,N/A,0.931
Airbnb,airbnb.com,"Airbnb | Vacation rentals, cabins, beach houses, & more","Airbnb: Holiday Rentals, Cabins, Beach Houses, Unique Homes & Experiences  # Airbnb homepage  ## Homes on Airbnb  0 of 0 items showing  ## Homes on Airbnb  0 of 0 items showing  ## Homes on Airbnb  0 ",https://www.airbnb.com/,1.226
CNN,cnn.com,"CNN: Breaking News, Latest News and Videos","Breaking News, Latest News and Videos | CNN  - AI art authentication - Iranian women’s football team - Oscars Ballot - Menai Strait Bridge - Anthropic - ‘Maternal invisibility’ - Iran’s new supreme le",https://www.cnn.com/,1.765
Python,python.org,Welcome to Python.org,Welcome to Python.org  Notice: This page displays a fallback because interactive scripts did not run. Possible causes include disabled JavaScript or failure to load scripts or stylesheets.  Join the o,https://www.python.org/,0.896
Wikipedia,wikipedia.org,Wikipedia,Wikipedia  # Wikipedia The Free Encyclopedia  # Wikipedia 25 years of the free encyclopedia  Unlock birthday surprises on Wikipedia  Learn how to turn on Birthday mode so you and Baby Globe can explor,https://www.wikipedia.org/,1.023
Stackoverflow,stackoverflow.com,Stack Overflow: Newest Questions,"Newest Questions - Stack Overflow  # Newest Questions  24,167,785 questions  se-uql#toggleEditor""  Newest Active Bountied 12 Unanswered More  Filter  Filter by  No answers  No upvoted or accepted answ",https://stackoverflow.com/,1.134
NASA,nasa.gov,NASA,NASA  Search  ## Suggested Searches  - View All Topics A-Z - International Space Station - SpaceX Crew-2 - Mars perseverance - Expedition 64 - Artemis - Climate Change - NASA+  ## Your Orbiting Labora,https://www.nasa.gov/,0.912
arxiv,arxiv.org,arXiv.org e-Print archive,"arXiv.org e-Print archive  arXiv is a free distribution service and an open-access archive for nearly 2.4 million scholarly articles in the fields of physics, mathematics, computer science, quantitati",https://arxiv.org/,0.921
Medium,medium.com,Medium: Read and write stories.,"Medium: Read and write stories.  Sitemap  Medium Logo  Our story  Membership  Write  Sign in  Get started  ## Human stories & ideas  ### A place to read, write, and deepen your understanding  Start re",https://medium.com/,1.032
Cloudflare,cloudflare.com,"Cloudflare: Connect, protect, and build everywhere","# Connect, protect, and build everywhere  We make websites, apps, AI agents, and networks faster and more secure. Our agile SASE platform accelerates safe AI adoption, and our developer platform is th",https://www.cloudflare.com/,0.875
eBay,ebay.com,"eBay: Electronics, Cars, Fashion, Collectibles & More","Electronics, Cars, Fashion, Collectibles & More | eBay  # Electronics, Cars, Fashion, Collectibles & More | eBay  Motors  Expand: Motors  Electronics  Expand: Electronics  Collectibles  Expand: Collec",https://www.ebay.com/,1.781
